,Team1,Team2,score1,score2
0,paiN,Anonymo,2,1
1,FTW,FORZE,0,2
2,Apeks,Movistar Riders,2,1
3,Space,Into the Breach,0,2
4,BIG,Preasy,1,2
5,ECSTATIC,9 Pandas,2,1
6,Spirit,MIBR,2,0
7,Aurora,Movistar Riders,1,2
8,Apeks,PERA,2,1
9,TSM,SINNERS,0,2
10,Sprout,FORZE,2,0
11,Into the Breach,ALTERNATE aTTaX,2,0
12,SAW,Metizport,0,2
13,Guild Eagles,ALTERNATE aTTaX,0,2
14,PERA,FORZE,0,2
15,FTW,Aurora,,
16,Movistar Riders,Space,2,0
17,Apeks,Pompa,2,0
18,Legacy,9 Pandas,0,2
19,00NATION,Into the Breach,0,2
20,SAW,Entropiq,2,0
21,EYEBALLERS,ECSTATIC,0,2
22,Movistar Riders,PERA,0,2
23,Aurora,Pompa,2,0
24,FTW,Apeks,2,0
25,FORZE,Space,2,0
26,Looking4Org,TSM,0,2
27,Into the Breach,Project G,2,0
28,ALTERNATE aTTaX,IKLA,2,0
29,9INE,Spirit,0,2
30,SINNERS,Legacy,2,0
31,Guild Eagles,Space,1,2
32,Rocket,Unjustified,1,2
33,Looking4Org,Anonymo,0,2
34,Space,FORZE,0,2
35,FTW,INGLORIOUS,2,0
36,ARCRED,Pompa,0,2
37,PERA,Aurora,2,0
38,FTW,PARTIZAN,1,0
39,Space,upcoming galimi,1,0
40,Aurora,sYnck,1,0
41,FLuffy Gangsters,Pompa,0,1
42,ECSTATIC,ARCRED,0,1
43,PERA,Sashi,1,0
44,FORZE,ENEIDA,1,0
45,Sprout,MOUZ NXT,2,0
46,Into the Breach,INGLORIOUS,0,1
47,ECSTATIC,Spirit Academy,1,0
48,FORZE,WinX,0,0
49,00NATION,FTW,0,1
50,ENEIDA,TUSTE CHOPAKI,1,0
51,9INE,PERA,0,1
52,Astralis Talent,PARTIZAN,0,1
53,KS,Sashi,0,1
54,mixks,Into the Breach,0,1
55,ESC,sYnck,0,1
56,upcoming galimi,Team Raised,1,0
57,INGLORIOUS,UNITY,1,0
58,ARCRED,GODSENT,1,0
59,ALTERNATE aTTaX,FLuffy Gangsters,0,1
60,Aurora,IKLA,1,0
61,Alliance,Molotov Gaming,2,0
62,Pompa,Illuminar,,
63,Young Gods,Kappa Bar,0,2
64,Space,LOADING,1,0
65,Marskalk,dodareY,2,0
66,Preasy,Guild Eagles,2,0
