,Player,Kda,rating,openRating,ratingPis
0,nettik,1.75,1.55,1.24,1.47
1,Magnojez,1.39,1.45,1.36,1.21
2,yungher,1.71,1.42,1.23,1.13
3,donk,1.39,1.42,1.28,1.32
4,GaBi,1.77,1.41,1.07,1.48
5,kaahSENSEI,1.74,1.39,1.13,1.43
6,gabs,1.46,1.39,1.33,1.80
7,izaa,1.40,1.37,1.31,1.59
8,annaEX,1.51,1.35,1.21,1.31
9,chelleos,1.37,1.33,1.41,1.47
10,dav1deuS,1.35,1.33,1.16,1.32
11,nicoodoz,1.31,1.32,1.36,1.10
12,XANTARES,1.25,1.32,1.31,1.37
13,julih,1.34,1.30,1.18,1.33
14,D7,1.29,1.29,1.05,1.41
15,ropz,1.41,1.29,1.13,1.45
16,supra,1.23,1.28,1.16,1.72
17,MATYS,1.21,1.28,1.07,1.58
18,TNDKingg,1.17,1.28,1.34,1.45
19,ICY,1.40,1.27,1.25,1.21
20,Lake,1.21,1.27,1.15,1.25
21,ADDICT,1.29,1.27,1.03,1.36
22,blameF,1.35,1.27,1.10,1.13
23,lov1kus,1.25,1.26,1.04,1.75
24,Maka,1.38,1.26,1.09,1.19
25,TRAVIS,1.27,1.26,1.08,1.51
26,xiELO,1.25,1.26,1.14,1.37
27,Zana,1.43,1.26,1.03,0.77
28,deko,1.36,1.25,1.06,1.26
29,dupreeh,1.18,1.25,1.24,1.58
30,FinigaN,1.26,1.24,1.02,1.07
31,FL1T,1.14,1.24,1.19,1.51
32,smooya,1.28,1.24,1.27,0.98
33,aidKiT,1.36,1.24,1.18,1.18
34,REGIANE,1.29,1.23,0.89,0.61
35,HEN1,1.33,1.23,1.04,1.10
36,lux,1.15,1.23,1.16,1.15
37,hAdji,1.27,1.23,1.00,1.04
38,kyuubii,1.17,1.23,1.10,1.65
39,Swisher,1.16,1.23,1.13,1.33
40,nilo,1.22,1.23,0.96,1.26
41,adeX,1.23,1.23,1.14,1.18
42,RCF,1.29,1.22,1.22,1.34
43,junior,1.40,1.22,1.12,1.14
44,oskar,1.33,1.22,1.06,1.14
45,EliGE,1.15,1.22,1.17,1.48
46,Porya,1.20,1.21,1.05,1.17
47,910,1.27,1.21,1.18,1.00
48,mezii,1.13,1.21,1.08,1.09
49,Plopski,1.21,1.21,0.99,1.31
50,dea,1.21,1.21,1.24,1.16
51,hazr,1.13,1.21,1.08,1.20
52,boltz,1.24,1.21,1.04,1.02
53,damyo,1.13,1.21,1.20,1.21
54,Rackem,1.23,1.21,1.02,1.18
