,Team,Player1,Player2,Player3,Player4,Player5
0,Natus Vincere,Aleksib,b1t,iM,jL,w0nderful
1,Spirit,chopper,sh1ro,magixx,zont1x,donk
2,The MongolZ,senzu,Techno4k,bLitz,mzinho,910
3,Vitality,apEX,ZywOo,flameZ,Spinx,mezii
4,MOUZ,Brollan,torzsi,Jimpphat,siuhy,xertioN
5,Eternal Fire,XANTARES,MAJ3R,Calyx,woxic,Wicadia
6,HEROIC,sjuush,TeSeS,degster,Nertz,kyxsan
7,3DMAX,Maka,Lucky,Ex3rcice,Djoko,Graviti
8,Nemiga,1eeR,Xant3r,khaN,riskyb0b,zweih
9,Liquid,Twistzz,NAF,jks,YEKINDAR,ultimate
10,Virtus.pro,electroNic,Jame,n0rb3r7,FL1T,fame
11,SAW,MUTiRiS,rmn,Ag1L,story,ewjerkz
12,9z,max,Buda,dgt,Martinez,HUASOPEEK
13,Sangal,xfl0ud,SaMey,LNZ,Yxngstxr,jottAAA
14,FURIA,FalleN,chelo,yuurih,KSCERATO,skullz
15,Falcons,dupreeh,Magisk,s1mple,Snappi,Maden
16,paiN,biguzera,kauez,lux,nqz,Snow
17,Complexity,EliGE,Grim,JT,Hallzerk,floppy
18,GamerLegion,volt,Tauson,ztr,sl3nd,FL4MUS
19,Aurora,Lack1,clax,deko,KENSI,Norwi
20,BetBoom,nafany,zorte,KaiR0N-,s1ren,Magnojez
21,FlyQuest,dexter,Liazz,aliStair,INS,Vexite
22,Passion UA,fear,Jambo,ZeRRoFIX,jackasmo,s-chilla
23,ODDIK,WOOD7,naitte,Tuurtle,matios,ksloks
24,Zero Tenacity,aVN,nEMANHA,simke,Cjoffo,brutmonster
25,9 Pandas,iDISBALANCE,glowiing,d1Ledez,shalfey,r3salt
26,SINNERS,SHOCK,beastik,MoriiSko,Majky,oskar
27,Sashi,kwezz,Lucky,Cabbi,IceBerg,MistR
28,Legacy,NEKIZ,b4rtiN,latto,dumau,saadzin
29,Imperial fe,ANa,twenty3,tory,zAAz,Kat
30,GUN5,SELLTER,tN1R,Sdaim,xiELO,Easy
31,Wildcard,stanislaw,Sonic,phzy,susp,JBa
32,ECLOT,kreaz,Blytz,nbqq,FORSYY,Dytor
33,Monte,dycha,hades,DemQQ,KEi,kRaSnaL
34,Lynn Vision,flying,Westmelon,z4kr,EmiliaQAQ,afufu
35,AMKAL,Krad,TRAVIS,Forester,nota,topo
36,9INE,refrezh,misutaaa,mantuu,s0und,raalz
37,Nouns,RUSH,Junior,nosraC,cJ,Jeorge
38,Metizport,Plopski,SHiNE,nilo,Adamb,L00m1
39,TSM,valde,niko,acoR,Zyphon,sirah
40,NRG,nitr0,autimatic,Brehze,oSee,HexT
41,Cloud9,Boombl4,Ax1Le,interz,icy,HeavyGod
42,Rhyno,NOPEEJ,snapy,rafaxF,krazy,TMKj
43,ALTERNATE aTTaX,PANIX,awzek,FreeZe,PerX,ArroW
44,Kubix,gejmzilla,v1w,ammar,rosoneriii,tripey
45,KOI,mopoz,JUST,stadodo,dav1g,adamS
46,RUSH B,kinqie,Kiro,Z1Nny,tex1y,executor
47,Rebels,innocent,OLIMP,Flayy,casey,kisserek
48,Bounty Hunters,SHOOWTiME,bnc,KAISER,Bruninho,Reix
49,inSanitY,Maluk3,iDk,f4stzin,cass1n,nks
50,UNiTY,K1-FiDa,Levi,Blogg1s,Pechyn,M1key
51,Monte Gen,shield,Gizmy,Ryu,Leen,fnl
52,PARIVISION,Qikert,Patsi,alpha,BELCHONOKK,ArtFr0st
53,ARCRED,Get_Jeka,SynyX,Sh4GGi,1NVISIBLE,DSSj
54,DRILLAS,hAdji,SENER1,Woro2k,meztal,Kvem
55,Anonymo,darchevile,Enzo,Nami,chudy2k,yvro
56,BOSS,SLIGHT,Cryptic,freshie,d4rty,Fruitcup
57,L&G,kr1vda,Malkiss,kL1okL1o,OneUn1que,jackast
58,IHC,rate,ROUX,AccuracyTG,Efire,Zesta
59,ECSTATIC,TMB,Kristou,n1xen,Anlelele,nut nut
60,Fluxo Demons,josi,goddess,yungher,poppins,annaEX
61,FLuffy Gangsters,SoLb,takanashi,h1ghnesS,yuramyata,Djon8
62,NAVI Javelins,D7,ASTRA,vicu,Angelka,Hanka
63,Alliance,twist,PlesseN,b0denmaster,upE,avid
64,500,CeRq,SHiPZ,SPELLAN,Rainwaker,Oxygen
65,Vikings KR,remix,honda,zmb,lukiz,realziN
66,Change The Game,Crisis,赖科旭,LIngGod,Lyrics3,957
67,Rooster,Hatz,chelleos,asap,Sliimey,TjP
68,Rare Atom,somebody,Summer,Kaze,ChildKing,L1haNg
69,E-Xolos LAZER,land1n,tatazin,mawth,danoco,w1
70,Nexus,BTN,XELLOW,ragga,ADRON,Ciocardau
71,EYEBALLERS,JW,Golden,HEAP,Peppzor,poiii
72,undefined,motm,rilax,chop,BeaKie,stamina
73,GR,weqt2,SALO_MUX,mediocrity,Runnin,Reminder
74,FURIA fe,Bizinha,izaa,kaah,gabs,lulitenz
75,Sharks Youngsters,Nicks,levi,kenznk,Longo,Futoi
76,ENCE Academy,myltsi,2high,Millert,teme,Schwarz
77,Exceed,Blaze,TheM4N,flexeeee,wipeout,DropShot
78,Apogee,Prism,swiz,Qlocuu,virtuoso,POLO
79,MIBR fe,DaNi,GaBi,khizha,Babs,Jelly
80,Kappa Bar,Baaten,b0bbzki,delle,siz,TIM
81,Mythic,fl0m,Trucklover86,Cooper,freakazoid,Austin
82,Verdant,Girafffe,arTisT,Vacancy,Extinct,Diviiii
83,InControl,jsfeltner,andrew,mason,DYLAN,FIEND
84,The Suspect,cerber,BledarD,HYPERI,vAloN,Caleyy
85,Dusty Roots,1962,tom1jed,OwensinhoM,alexeR,maxxkor
86,Bad News Chickens,desh,Leomonster,short,Alisson,Skr
87,MIGHT,Snakes,Jonji,djay,JAM,louie
88,Intense,ckzao,keiz,fREQ,zede,Jz
89,RG-QingQiu Esports,gas,Marek,Purely,Risk,qqGOD
90,straykids,zebra,Pr0mise,Reason,ChwE,Beastman
91,Space,X5G7V,fozil,Vert,TruNiQ,Danistzz
92,Gameinside,PARKER,bodyaooo,DK,Sul9n,Monk
