,Unnamed: 0,Team,Player1,Player2,Player3,Player4,Player5,Rating,openRating,openminRating,openmaxRating,ratingPis,ratingminPis,ratingmaxPis,minRating,maxRating,Kda,minKda,maxKda,last10
0,1,FaZe,rain,karrigan,Twistzz,ropz,broky,1.1099999999999999,0.998,0.82,1.13,1.16,0.85,1.45,0.96,1.29,1.082,0.84,1.41,13
1,4,Virtus.pro,mir,Jame,n0rb3r7,FL1T,fame,1.1219999999999999,1.028,0.89,1.19,1.1480000000000001,0.99,1.51,1.02,1.24,1.114,0.93,1.36,7
2,5,MOUZ,frozen,torzsi,Jimpphat,siuhy,xertioN,1.062,0.99,0.85,1.09,0.9480000000000001,0.78,1.3,0.86,1.2,1.03,0.74,1.21,-1
3,6,Monte,sdy,DemQQ,kRaSnaL,Woro2k,br0,1.1099999999999999,1.006,0.96,1.13,1.1480000000000001,1.04,1.39,1.01,1.19,1.0539999999999998,0.96,1.24,0
4,8,Astralis,dev1ce,blameF,b0RUP,Staehr,Buzz,1.085,0.96,0.78,1.1,1.015,0.75,1.13,0.89,1.27,1.0525000000000002,0.79,1.35,0
5,10,Cloud9,Hobbit,electroNic,Boombl4,Ax1Le,Perfecto,1.0625,0.985,0.83,1.11,1.02,0.78,1.36,1.0,1.12,1.05,0.91,1.28,4
6,11,Apeks,jkaem,nawwk,kyxsan,sense,CacaNito,1.066,0.978,0.82,1.25,1.06,0.91,1.22,0.95,1.18,1.04,0.90,1.41,-3.0
7,12,BIG,tabseN,mantuu,prosus,Krimbo,s1n,1.1219999999999999,1.032,0.91,1.18,1.222,1.03,1.64,1.01,1.2,1.1220000000000003,0.93,1.31,-1
8,13,Complexity,EliGE,Grim,JT,Hallzerk,floppy,1.0975000000000001,1.0174999999999998,0.9,1.17,1.0925,0.9,1.48,1.01,1.22,1.0225,0.93,1.15,-2
9,14,FORZE,Krad,tN1R,shalfey,r3salt,gokushima,1.08,1.016,0.93,1.09,1.184,0.98,1.35,1.04,1.13,1.044,0.96,1.13,10
10,15,Spirit,chopper,magixx,zont1x,donk,ArtFr0st,1.14,1.042,0.84,1.28,1.2200000000000002,1.02,1.32,0.93,1.42,1.1239999999999999,0.83,1.39,10
11,16,MIBR,exit,saffee,drop,brnz4n,insani,1.106,1.0459999999999998,0.91,1.27,0.9640000000000001,0.84,1.08,0.99,1.19,1.036,0.86,1.12,-2
12,17,FURIA,FalleN,chelo,yuurih,arT,KSCERATO,1.042,0.998,0.93,1.09,0.9720000000000001,0.81,1.18,0.96,1.15,0.9940000000000001,0.83,1.12,3
13,18,9INE,Goofy,hades,mynio,KEi,Kylar,1.0299999999999998,1.014,0.92,1.1,1.124,0.87,1.37,1.0,1.06,0.9620000000000001,0.91,1.05,3
14,19,BESTIA,Noktse,meyern,deco,luchov,tomaszin,1.066,0.984,0.86,1.12,1.028,0.82,1.3,1.0,1.17,0.99,0.92,1.07,0
15,20,Ninjas in Pyjamas,k0nfig,REZ,es3tag,alex,headtr1ck,1.05,1.0,0.77,1.2,1.0699999999999998,0.61,1.82,0.86,1.2,0.986,0.72,1.16,-5
16,21,Aurora,Lack1,SELLTER,deko,KENSI,Norwi,1.098,1.0260000000000002,0.95,1.08,1.14,0.96,1.38,1.0,1.25,1.062,0.88,1.36,3.0
17,22,SAW,MUTiRiS,rmn,arrozdoce,story,ewjerkz,1.03,0.9524999999999999,0.84,1.07,0.8525,0.7,1.01,0.93,1.13,0.9775,0.87,1.12,4
18,23,Into the Breach,Qikert,CRUC1AL,misutaaa,Bymas,rallen,1.145,1.0725,0.98,1.14,1.045,0.97,1.17,1.12,1.18,1.1300000000000001,1.07,1.2,5
19,24,Lynn Vision,Westmelon,Starry,Jee,z4kr,EmiliaQAQ,1.006,0.9880000000000001,0.78,1.11,1.036,0.79,1.28,0.95,1.06,0.962,0.85,1.02,4
20,25,Imperial,felps,HEN1,VINI,Decenty,noway,1.1525,1.04,0.95,1.14,1.1,0.98,1.2,1.07,1.23,1.145,1.05,1.33,-2
21,26,00NATION,niko,syrsoN,JDC,birdfromsky,susp,1.098,1.0180000000000002,0.87,1.25,1.1460000000000004,1.02,1.35,1.02,1.19,1.0719999999999998,0.96,1.28,-2.0
22,27,Eternal Fire,XANTARES,MAJ3R,Calyx,woxic,Wicadia,1.066,1.0719999999999998,0.93,1.31,1.068,0.82,1.37,0.94,1.32,0.998,0.88,1.25,-5
23,28,ECSTATIC,Nodios,Queenix,Patti,kraghen,Sa!azaR,1.055,0.9949999999999999,0.87,1.16,0.9125,0.79,0.99,0.98,1.14,0.975,0.90,1.05,10
24,29,Bad News Eagles,juanflatroo,sinnopsyy,SENER1,gxx-,rigoN,1.002,1.02,0.79,1.15,0.9279999999999999,0.66,1.26,0.88,1.09,0.9200000000000002,0.78,1.07,5
25,30,ECLOT,anarkez,NEOFRAG,nbqq,K1-FiDa,Valencio,1.0559999999999998,1.008,0.86,1.14,1.006,0.8,1.34,0.92,1.19,1.02,0.85,1.19,-3
26,31,OG,nexa,k1to,FASHR,F1KU,regali,0.99,1.01,0.91,1.13,1.114,0.83,1.59,0.92,1.03,0.9,0.83,1.0,-6
